Designator,Mid X,Mid Y,Rotation,Layer
C1,143.400009,-88.200018,-90.0,top
C10,147.200009,-103.800018,-90.0,top
C11,154.800009,-92.500018,0.0,top
C12,154.800009,-98.900018,0.0,top
C13,132.000009,-99.800018,0.0,top
C14,132.000009,-92.200018,180.0,top
C2,134.600009,-88.200018,-90.0,top
C3,143.400009,-83.800018,90.0,top
C4,134.600009,-83.800018,90.0,top
C5,139.600009,-106.000018,0.0,top
C6,146.000009,-106.000018,0.0,top
C7,138.400009,-103.800018,90.0,top
C8,140.800009,-103.800018,-90.0,top
C9,144.800009,-103.800018,90.0,top
J1,138.330009,-114.800018,90.0,top
J2,144.730009,-114.800018,90.0,top
J3,132.440009,-77.000018,90.0,top
J4,135.070018,-114.800013,-90.0,top
R1,138.400009,-108.200018,90.0,top
R2,140.800009,-108.200018,90.0,top
R3,144.800009,-108.200018,90.0,top
R4,147.200009,-108.200018,90.0,top
U1,142.8,-96.0,90.0,top
U2,154.000009,-95.700018,-90.0,top
U3,139.000009,-86.000018,90.0,top
U4,147.800009,-86.000018,90.0,top
U6,132.0,-96.0,90.0,top
